"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
200001	2	convenience store	コンビニ	a small store open for long hours	I bought some milk at the convenience store.	私はコンビニで牛乳を買いました。	noun	2	3	""[""""コンビニ"""",""""本屋"""",""""スーパー"""",""""駅"""",""""図書館""""]""	""[""""convenience store"""",""""bookstore"""",""""supermarket"""",""""station"""",""""library""""]""	""[""""convenience store"""",""""computer store"""",""""corner store"""",""""department store"""",""""candy store""""]""	[]	[]"
200002	2	comic	漫画	a funny story in pictures	I read a comic after dinner.	私は夕食のあとで漫画を読みます。	noun	2	3	""[""""漫画"""",""""小説"""",""""新聞"""",""""辞書"""",""""手紙""""]""	""[""""comic"""",""""novel"""",""""newspaper"""",""""dictionary"""",""""letter""""]""	""[""""comic"""",""""coming"""",""""common"""",""""comet"""",""""camera""""]""	[]	[]"
200003	2	lot	たくさん	a large amount or number	We have a lot of homework today.	私たちは今日、宿題がたくさんあります。	noun	2	4	""[""""たくさん"""",""""少し"""",""""全部"""",""""半分"""",""""ひとつ""""]""	""[""""lot"""",""""many"""",""""much"""",""""few"""",""""some""""]""	""[""""lot"""",""""hot"""",""""not"""",""""light"""",""""late""""]""	[]	[]"
200004	2	place	場所	a spot or area	This is a nice place to read.	ここは読むのにいい場所です。	noun	2	4	""[""""場所"""",""""部屋"""",""""町"""",""""道"""",""""公園""""]""	""[""""place"""",""""room"""",""""town"""",""""road"""",""""park""""]""	""[""""place"""",""""plane"""",""""plate"""",""""play"""",""""price""""]""	""[{""""word"""":""""spot"""",""""note"""":""""くだけた言い方で「場所」""""}]""	[]"
200005	2	number	数	a word or sign for counting	Write your number here.	ここにあなたの番号を書いてください。	noun	2	5	""[""""数"""",""""名前"""",""""色"""",""""時間"""",""""年齢""""]""	""[""""number"""",""""name"""",""""color"""",""""time"""",""""age""""]""	""[""""number"""",""""member"""",""""summer"""",""""hammer"""",""""under""""]""	[]	[]"
200006	2	photo	写真	a picture taken with a camera	I have a photo of my dog.	私は自分の犬の写真を持っています。	noun	2	4	""[""""写真"""",""""絵"""",""""地図"""",""""手紙"""",""""本""""]""	""[""""photo"""",""""picture"""",""""map"""",""""letter"""",""""book""""]""	""[""""photo"""",""""potato"""",""""hotel"""",""""piano"""",""""window""""]""	""[{""""word"""":""""picture"""",""""note"""":""""photo より広く「絵・写真」""""}]""	[]"
200007	2	story	物語	a tale with people and events	This story is very interesting.	この物語はとてもおもしろいです。	noun	2	4	""[""""物語"""",""""歌"""",""""写真"""",""""手紙"""",""""地図""""]""	""[""""story"""",""""song"""",""""picture"""",""""letter"""",""""map""""]""	""[""""story"""",""""store"""",""""storm"""",""""straw"""",""""study""""]""	""[{""""word"""":""""tale"""",""""note"""":""""やや物語らしい言い方""""}]""	[]"
200008	2	rose	バラ	a flower with a sweet smell	She has a red rose.	彼女は赤いバラを持っています。	noun	2	2	""[""""バラ"""",""""ユリ"""",""""木"""",""""草"""",""""葉""""]""	""[""""rose"""",""""lily"""",""""tree"""",""""grass"""",""""leaf""""]""	""[""""rose"""",""""road"""",""""rope"""",""""rice"""",""""rule""""]""	[]	[]"
200009	2	package	小包	a box or bag sent to someone	A package came this morning.	今朝、小包が届きました。	noun	3	3	""[""""小包"""",""""手紙"""",""""箱"""",""""かばん"""",""""封筒""""]""	""[""""package"""",""""letter"""",""""box"""",""""bag"""",""""envelope""""]""	""[""""package"""",""""passage"""",""""picnic"""",""""pocket"""",""""village""""]""	""[{""""word"""":""""parcel"""",""""note"""":""""主に英語でよく使う言い方""""}]""	[]"
200010	2	shopping	買い物	the activity of buying things	My mother likes shopping on Sunday.	私の母は日曜日に買い物をするのが好きです。	noun	2	3	""[""""買い物"""",""""勉強"""",""""料理"""",""""運動"""",""""散歩""""]""	""[""""shopping"""",""""studying"""",""""cooking"""",""""exercise"""",""""walking""""]""	""[""""shopping"""",""""stopping"""",""""shocking"""",""""showing"""",""""shop""""]""	""[{""""word"""":""""buying"""",""""note"""":""""「買うこと」の意味で近い""""}]""	[]"
200011	2	cycling	サイクリング	the activity of riding a bicycle	We enjoy cycling in the park.	私たちは公園でサイクリングを楽しみます。	noun	2	2	""[""""サイクリング"""",""""水泳"""",""""ランニング"""",""""ダンス"""",""""スキー""""]""	""[""""cycling"""",""""swimming"""",""""running"""",""""dancing"""",""""skiing""""]""	""[""""cycling"""",""""singer"""",""""circle"""",""""cooking"""",""""skiing""""]""	""[{""""word"""":""""biking"""",""""note"""":""""特に米語で近い""""}]""	[]"
200012	2	also	〜もまた	in addition; too	She can also play the piano.	彼女はピアノもまた弾けます。	adverb	2	4	""[""""〜もまた"""",""""いつも"""",""""たぶん"""",""""すぐに"""",""""とても""""]""	""[""""also"""",""""always"""",""""maybe"""",""""soon"""",""""very""""]""	""[""""also"""",""""all"""",""""already"""",""""always"""",""""although""""]""	""[{""""word"""":""""too"""",""""note"""":""""文末でよく使う""""},{""""word"""":""""as well"""",""""note"""":""""文末で使うことが多い""""}]""	[]"
200013	2	should	〜すべき	used to say what is right or a good idea	You should study today.	あなたは今日勉強するべきです。	modal verb	2	4	""[""""〜すべき"""",""""〜できる"""",""""〜しなければならない"""",""""〜するだろう"""",""""〜したい""""]""	""[""""should"""",""""can"""",""""must"""",""""will"""",""""want""""]""	""[""""should"""",""""could"""",""""would"""",""""showed"""",""""short""""]""	""[{""""word"""":""""must"""",""""note"""":""""shouldより強い言い方""""}]""	[]"
200014	2	then	そのとき	at that time or next	I did my homework, and then I watched TV.	私は宿題をして、そのときテレビを見ました。	adverb	2	4	""[""""そのとき"""",""""いま"""",""""きのう"""",""""すぐに"""",""""いつも""""]""	""[""""then"""",""""now"""",""""yesterday"""",""""soon"""",""""always""""]""	""[""""then"""",""""ten"""",""""them"""",""""thin"""",""""thank""""]""	""[{""""word"""":""""next"""",""""note"""":""""順序で「次に」""""}]""	[]"
200015	2	late	遅れて	after the right or usual time	He was late for school.	彼は学校に遅れました。	adjective	2	4	""[""""遅れて"""",""""早く"""",""""静かに"""",""""忙しい"""",""""元気な""""]""	""[""""late"""",""""early"""",""""quiet"""",""""busy"""",""""fine""""]""	""[""""late"""",""""rate"""",""""light"""",""""lake"""",""""wait""""]""	[]	""[{""""word"""":""""early"""",""""note"""":""""反対の意味""""}]"""
200016	2	once again	もう一度	one more time	Please say it once again.	もう一度それを言ってください。	adverb	2	3	""[""""もう一度"""",""""すぐに"""",""""ゆっくり"""",""""いっしょに"""",""""たいてい""""]""	""[""""once again"""",""""soon"""",""""slowly"""",""""together"""",""""usually""""]""	""[""""once again"""",""""once a day"""",""""all again"""",""""come again"""",""""one game""""]""	""[{""""word"""":""""again"""",""""note"""":""""より短い言い方""""}]""	[]"
200017	2	years old	歳	used to show a person's age	My sister is ten years old.	私の姉は10歳です。	adjective	1	5	""[""""歳"""",""""年"""",""""月"""",""""週"""",""""日""""]""	""[""""years old"""",""""year"""",""""month"""",""""week"""",""""day""""]""	""[""""years old"""",""""year"""",""""yellow"""",""""yours"""",""""old""""]""	[]	[]"
200018	2	plane	飛行機	a vehicle that flies in the sky	The plane is very big.	その飛行機はとても大きいです。	noun	2	4	""[""""飛行機"""",""""電車"""",""""船"""",""""自転車"""",""""バス""""]""	""[""""plane"""",""""train"""",""""ship"""",""""bike"""",""""bus""""]""	""[""""plane"""",""""play"""",""""plate"""",""""plant"""",""""place""""]""	""[{""""word"""":""""airplane"""",""""note"""":""""同じ意味でよく使う語""""}]""	[]"
200019	2	airplane	飛行機	a vehicle that flies in the sky	The airplane is very big.	その飛行機はとても大きいです。	noun	2	3	""[""""飛行機"""",""""電車"""",""""船"""",""""車"""",""""自転車""""]""	""[""""airplane"""",""""train"""",""""ship"""",""""car"""",""""bike""""]""	""[""""airplane"""",""""airport"""",""""airmail"""",""""raincoat"""",""""playground""""]""	""[{""""word"""":""""plane"""",""""note"""":""""airplane の短い言い方""""}]""	[]"
200020	2	around	まわりに	on every side of something	We sat around the table.	私たちはテーブルのまわりに座りました。	preposition	2	4	""[""""まわりに"""",""""中に"""",""""下に"""",""""後ろに"""",""""近くに""""]""	""[""""around"""",""""in"""",""""under"""",""""behind"""",""""near""""]""	""[""""around"""",""""aloud"""",""""about"""",""""along"""",""""arrive""""]""	[]	[]"
200021	2	too	〜も	also; in addition	I like dogs too.	私も犬が好きです。	adverb	2	5	""[""""〜も"""",""""だけ"""",""""いつも"""",""""たぶん"""",""""すぐに""""]""	""[""""too"""",""""only"""",""""always"""",""""maybe"""",""""soon""""]""	""[""""too"""",""""do"""",""""tooth"""",""""tool"""",""""two""""]""	""[{""""word"""":""""also"""",""""note"""":""""より少しかたい言い方""""}]""	[]"
200022	2	panda	パンダ	a black and white animal from China	I saw a panda at the zoo.	私は動物園でパンダを見ました。	noun	2	2	""[""""パンダ"""",""""ウサギ"""",""""イヌ"""",""""ネコ"""",""""サル""""]""	""[""""panda"""",""""rabbit"""",""""dog"""",""""cat"""",""""monkey""""]""	""[""""panda"""",""""pencil"""",""""painter"""",""""pan"""",""""band""""]""	[]	[]"
200023	2	rabbit	ウサギ	a small animal with long ears	The rabbit is eating a carrot.	そのウサギはにんじんを食べています。	noun	2	2	""[""""ウサギ"""",""""パンダ"""",""""イヌ"""",""""ネコ"""",""""サル""""]""	""[""""rabbit"""",""""panda"""",""""dog"""",""""cat"""",""""monkey""""]""	""[""""rabbit"""",""""racket"""",""""rapid"""",""""habit"""",""""robot""""]""	[]	[]"
200024	2	pet	ペット	an animal you keep at home	We have a pet at home.	私たちは家でペットを飼っています。	noun	2	3	""[""""ペット"""",""""動物"""",""""赤ちゃん"""",""""おもちゃ"""",""""友だち""""]""	""[""""pet"""",""""animal"""",""""baby"""",""""toy"""",""""friend""""]""	""[""""pet"""",""""pen"""",""""bed"""",""""pig"""",""""ten""""]""	[]	[]"
