no	grade	word	meaning	definition	example	exampleMeaning	partOfSpeech	difficulty	frequency	choicesEnJa	choicesJaEn	choicesListening	synonyms	antonyms
100001	1	year	年	a period of twelve months	A year has twelve months.	1年は12か月あります。	noun	1	4	"[""年"",""月"",""週"",""日"",""時間""]"	"[""year"",""month"",""week"",""day"",""hour""]"	"[""year"",""ear"",""yellow"",""yard"",""you""]"	[]	[]
100002	1	he	彼	used for a boy or man	He can play the piano.	彼はピアノをひけます。	pronoun	1	5	"[""彼"",""彼女"",""あなた"",""私たち"",""それ""]"	"[""he"",""she"",""you"",""we"",""it""]"	"[""he"",""she"",""we"",""me"",""bee""]"	[]	[]
100003	1	some	いくつかの	more than one, but not all	I have some apples.	私はりんごをいくつか持っています。	adjective	2	5	"[""いくつかの"",""たくさんの"",""すべての"",""ひとつの"",""まったくない""]"	"[""some"",""many"",""all"",""few"",""no""]"	"[""some"",""sun"",""song"",""same"",""sumo""]"	[]	[]
100004	1	she	彼女	used for a girl or woman	She reads books after school.	彼女は放課後に本を読みます。	pronoun	1	5	"[""彼女"",""彼"",""あなた"",""私たち"",""それ""]"	"[""she"",""he"",""you"",""we"",""it""]"	"[""she"",""he"",""we"",""shoe"",""ship""]"	[]	[]
100005	1	can	〜できる	to be able to do something	I can swim very well.	私はとても上手に泳げます。	verb	1	5	"[""〜できる"",""〜するつもりだ"",""〜しなければならない"",""〜してもよい"",""〜したい""]"	"[""can"",""will"",""must"",""may"",""want to""]"	"[""can"",""cap"",""cat"",""came"",""cake""]"	[]	[]
100006	1	month	月	one of the twelve parts of a year	Next month is my birthday.	来月は私の誕生日です。	noun	1	4	"[""月"",""年"",""週"",""日"",""時間""]"	"[""month"",""year"",""week"",""day"",""hour""]"	"[""month"",""mouth"",""math"",""mouse"",""monk""]"	[]	[]
100007	1	over	〜の上に	in a higher place than something	The lamp is over the table.	ランプはテーブルの上にあります。	preposition	2	4	"[""〜の上に"",""〜の下に"",""〜の中に"",""〜の後ろに"",""〜の前に""]"	"[""over"",""under"",""in"",""behind"",""in front of""]"	"[""over"",""older"",""open"",""owner"",""order""]"	"[{""word"":""above"",""note"":""「〜より上に」を表す語。""}]"	"[{""word"":""under"",""note"":""「〜の下に」を表す語。""}]"
100008	1	woman	女性	an adult female person	That woman is my teacher.	あの女性は私の先生です。	noun	1	4	"[""女性"",""男性"",""少女"",""少年"",""先生""]"	"[""woman"",""man"",""girl"",""boy"",""teacher""]"	"[""woman"",""women"",""human"",""wooden"",""warm""]"	[]	"[{""word"":""man"",""note"":""成人の男性""}]"
100009	1	man	男性	an adult male person	The man has a big bag.	その男性は大きなかばんを持っています。	noun	1	4	"[""男性"",""女性"",""少年"",""少女"",""人""]"	"[""man"",""woman"",""boy"",""girl"",""person""]"	"[""man"",""men"",""main"",""map"",""mat""]"	[]	"[{""word"":""woman"",""note"":""性別が反対の基本語。man は成人男性、woman は成人女性。""}]"
100010	1	windy	風の強い	having a lot of wind	It is windy today.	今日は風が強いです。	adjective	1	4	"[""風の強い"",""晴れた"",""雨の"",""曇った"",""雪の降る""]"	"[""windy"",""sunny"",""rainy"",""cloudy"",""snowy""]"	"[""windy"",""window"",""winter"",""winner"",""wind""]"	[]	"[{""word"":""calm"",""note"":""風や天気が穏やかで、風がほとんどない状態。""}]"
100011	1	and	そして、〜と〜	used to join words or ideas	Tom and I play soccer after school.	トムと私は放課後にサッカーをします。	conjunction	1	5	"[""そして、〜と〜"",""しかし"",""または"",""だから"",""でも""]"	"[""and"",""but"",""or"",""so"",""because""]"	"[""and"",""end"",""hand"",""ant"",""sand""]"	[]	[]
100012	1	monkey	さる	an animal with a long tail	The monkey is in the tree.	そのさるは木の上にいます。	noun	1	3	"[""さる"",""いぬ"",""ねこ"",""うさぎ"",""くま""]"	"[""monkey"",""dog"",""cat"",""rabbit"",""bear""]"	"[""monkey"",""money"",""donkey"",""Monday"",""monk""]"	[]	[]
