"no	grade	word	japanese	description	sentence	japanese_sentence	pos	difficulty	frequency	""[""""年"""",""""月"""",""""週"""",""""日"""",""""時間""""]""	""[""""year"""",""""month"""",""""week"""",""""day"""",""""hour""""]""	""[""""year"""",""""ear"""",""""near"""",""""dear"""",""""yard""""]""	[]	[]"
400001	4	surround	囲む	to be all around someone or something	Tall trees surround the house.	高い木々がその家を囲んでいる。	verb	3	4	""[""""囲む"""",""""支える"""",""""運ぶ"""",""""隠す"""",""""集める""""]""	""[""""surround"""",""""support"""",""""carry"""",""""hide"""",""""gather""""]""	""[""""surround"""",""""sound"""",""""ground"""",""""around"""",""""surprised""""]""	""[{""""word"""":""""encircle"""",""""note"""":""""ややかたいが、ぐるりと囲む""""}]""	""[{""""word"""":""""free"""",""""note"""":""""囲みから出すイメージ""""}]"""
400002	4	mankind	人類	all people in the world	Science has helped mankind in many ways.	科学は多くの面で人類を助けてきた。	noun	4	3	""[""""人類"""",""""社会"""",""""文化"""",""""自然"""",""""歴史""""]""	""[""""mankind"""",""""society"""",""""culture"""",""""nature"""",""""history""""]""	""[""""mankind"""",""""humankind"""",""""man-made"""",""""mainland"""",""""kindness""""]""	""[{""""word"""":""""humankind"""",""""note"""":""""より中立的な言い方""""}]""	[]"
400003	4	throughout	〜の至る所に	in every part of a place or time	The news spread throughout the town.	その知らせは町中に広まった。	preposition	4	3	""[""""〜の至る所に"""",""""〜の上に"""",""""〜の前に"""",""""〜の近くに"""",""""〜の外に""""]""	""[""""throughout"""",""""above"""",""""before"""",""""near"""",""""outside""""]""	""[""""throughout"""",""""throw"""",""""thought"""",""""through"""",""""throat""""]""	""[{""""word"""":""""all over"""",""""note"""":""""より口語的""""}]""	[]"
400004	4	worldwide	世界中で	in all parts of the world	This song became popular worldwide.	この歌は世界中で人気になった。	adverb	4	3	""[""""世界中で"""",""""国内で"""",""""地元で"""",""""屋外で"""",""""途中で""""]""	""[""""worldwide"""",""""nationwide"""",""""locally"""",""""outdoors"""",""""halfway""""]""	""[""""worldwide"""",""""world"""",""""word"""",""""would"""",""""wild""""]""	""[{""""word"""":""""globally"""",""""note"""":""""ややかたい言い方""""}]""	""[{""""word"""":""""locally"""",""""note"""":""""地域的に""""}]"""
400005	4	tolerate	我慢する	to accept something unpleasant without complaining	I can't tolerate loud music at night.	私は夜の大きな音楽に我慢できない。	verb	4	3	""[""""我慢する"""",""""拒否する"""",""""隠す"""",""""修理する"""",""""説明する""""]""	""[""""tolerate"""",""""refuse"""",""""hide"""",""""repair"""",""""explain""""]""	""[""""tolerate"""",""""celebrate"""",""""generate"""",""""decorate"""",""""separate""""]""	""[{""""word"""":""""stand"""",""""note"""":""""口語で「我慢する」""""},{""""word"""":""""bear"""",""""note"""":""""やや硬めだが基本的""""}]""	""[{""""word"""":""""refuse"""",""""note"""":""""受け入れない""""},{""""word"""":""""reject"""",""""note"""":""""はっきり拒絶する""""}]"""
400006	4	legal	合法の	allowed by the law	It is legal to drive at eighteen here.	ここでは18歳で運転することは合法です。	adjective	3	4	""[""""合法の"""",""""危険な"""",""""私的な"""",""""公平な"""",""""有名な""""]""	""[""""legal"""",""""dangerous"""",""""private"""",""""fair"""",""""famous""""]""	""[""""legal"""",""""eagle"""",""""regal"""",""""local"""",""""equal""""]""	""[{""""word"""":""""lawful"""",""""note"""":""""やや硬いがほぼ同じ意味""""}]""	""[{""""word"""":""""illegal"""",""""note"""":""""法律に反する""""}]"""
400007	4	permission	許可	the right to do something given by someone	You need permission to use this room.	この部屋を使うには許可が必要です。	noun	3	4	""[""""許可"""",""""招待"""",""""提案"""",""""約束"""",""""経験""""]""	""[""""permission"""",""""invitation"""",""""suggestion"""",""""promise"""",""""experience""""]""	""[""""permission"""",""""position"""",""""condition"""",""""decision"""",""""admission""""]""	""[{""""word"""":""""approval"""",""""note"""":""""認めることという意味で近い""""}]""	""[{""""word"""":""""refusal"""",""""note"""":""""許可しないこと""""}]"""
400008	4	rarely	めったに〜ない	not often	I rarely watch TV after dinner.	私は夕食の後にめったにテレビを見ません。	adverb	4	3	""[""""めったに〜ない"""",""""たいてい"""",""""すぐに"""",""""静かに"""",""""たぶん""""]""	""[""""rarely"""",""""usually"""",""""quickly"""",""""quietly"""",""""probably""""]""	""[""""rarely"""",""""really"""",""""early"""",""""slowly"""",""""clearly""""]""	""[{""""word"""":""""seldom"""",""""note"""":""""やや書き言葉的だが意味は近い""""}]""	""[{""""word"""":""""often"""",""""note"""":""""頻度が反対""""}]"""
400009	4	on my own	ひとりで	by myself; without help	I finished the homework on my own.	私はその宿題をひとりで終えました。	adverb	4	3	""[""""ひとりで"""",""""急いで"""",""""家で"""",""""今すぐ"""",""""毎日""""]""	""[""""on my own"""",""""in a hurry"""",""""at home"""",""""right now"""",""""every day""""]""	""[""""on my own"""",""""on my way"""",""""all alone"""",""""on the road"""",""""in my room""""]""	""[{""""word"""":""""by myself"""",""""note"""":""""ほぼ同じ意味""""}]""	""[{""""word"""":""""with others"""",""""note"""":""""ひとりで、の反対方向""""}]"""
400010	4	in addition	その上	also; as an extra point	In addition, we need more time.	その上、私たちにはもっと時間が必要です。	adverb	4	3	""[""""その上"""",""""しかし"""",""""たぶん"""",""""たとえば"""",""""最後に""""]""	""[""""in addition"""",""""however"""",""""probably"""",""""for example"""",""""finally""""]""	""[""""in addition"""",""""in action"""",""""in advance"""",""""in a minute"""",""""in a station""""]""	""[{""""word"""":""""also"""",""""note"""":""""より基本的な語""""},{""""word"""":""""besides"""",""""note"""":""""追加を表す""""}]""	""[{""""word"""":""""however"""",""""note"""":""""逆の流れを示す""""}]"""
400011	4	in addition to	〜に加えて	as well as something else	In addition to math, I study English every day.	数学に加えて、私は毎日英語を勉強します。	preposition	4	3	""[""""〜に加えて"""",""""〜の代わりに"""",""""〜の前に"""",""""〜の後で"""",""""〜の間に""""]""	""[""""in addition to"""",""""instead of"""",""""before"""",""""after"""",""""during""""]""	""[""""in addition to"""",""""in front of"""",""""according to"""",""""next to"""",""""because of""""]""	""[{""""word"""":""""besides"""",""""note"""":""""より短い形で、会話でも使う""""}]""	[]"
400012	4	miracle	奇跡	something wonderful that seems impossible	It was a miracle that he was safe.	彼が無事だったのは奇跡でした。	noun	4	3	""[""""奇跡"""",""""事故"""",""""秘密"""",""""夢"""",""""機会""""]""	""[""""miracle"""",""""accident"""",""""secret"""",""""dream"""",""""chance""""]""	""[""""miracle"""",""""musical"""",""""medical"""",""""memory"""",""""minute""""]""	""[{""""word"""":""""wonder"""",""""note"""":""""やや広い意味で「驚くべきこと」""""}]""	[]"
400013	4	entertain	楽しませる	to make people enjoy themselves	The clown entertained the children.	そのピエロは子どもたちを楽しませました。	verb	4	3	""[""""楽しませる"""",""""招待する"""",""""助ける"""",""""驚かせる"""",""""教える""""]""	""[""""entertain"""",""""invite"""",""""help"""",""""surprise"""",""""teach""""]""	""[""""entertain"""",""""enter"""",""""internet"""",""""interview"""",""""introduce""""]""	""[{""""word"""":""""amuse"""",""""note"""":""""少しかたいが近い意味""""}]""	""[{""""word"""":""""bore"""",""""note"""":""""退屈させる""""}]"""
400014	4	choice	選択	the act of choosing or one thing you can choose	You have a choice between tea and coffee.	あなたは紅茶とコーヒーのどちらかを選べます。	noun	4	3	""[""""選択"""",""""決定"""",""""機会"""",""""方法"""",""""理由""""]""	""[""""choice"""",""""decision"""",""""chance"""",""""method"""",""""reason""""]""	""[""""choice"""",""""voice"""",""""join"""",""""cheese"""",""""chase""""]""	""[{""""word"""":""""option"""",""""note"""":""""選べるものという意味で近い""""}]""	[]"
400015	4	mammal	哺乳類	an animal that feeds milk to its babies	A whale is a mammal.	クジラは哺乳類です。	noun	5	2	""[""""哺乳類"""",""""鳥類"""",""""魚類"""",""""昆虫"""",""""は虫類""""]""	""[""""mammal"""",""""bird"""",""""fish"""",""""insect"""",""""reptile""""]""	""[""""mammal"""",""""manual"""",""""camel"""",""""metal"""",""""animal""""]""	[]	[]"
400016	4	bother	困らせる	to annoy someone or cause trouble	Sorry to bother you during dinner.	夕食中にあなたを困らせてすみません。	verb	4	3	""[""""困らせる"""",""""助ける"""",""""招く"""",""""運ぶ"""",""""調べる""""]""	""[""""bother"""",""""help"""",""""invite"""",""""carry"""",""""check""""]""	""[""""bother"""",""""brother"""",""""border"""",""""mother"""",""""other""""]""	""[{""""word"""":""""annoy"""",""""note"""":""""よりはっきり「いらいらさせる」""""}]""	[]"
400017	4	nuisance	迷惑なもの	something or someone that causes trouble	The loud noise was a nuisance to everyone.	その大きな音はみんなにとって迷惑なものだった。	noun	4	2	""[""""迷惑なもの"""",""""危険なもの"""",""""大切なもの"""",""""静かな場所"""",""""便利な道具""""]""	""[""""nuisance"""",""""danger"""",""""treasure"""",""""silence"""",""""tool""""]""	""[""""nuisance"""",""""newspaper"""",""""musician"""",""""distance"""",""""business""""]""	""[{""""word"""":""""trouble"""",""""note"""":""""より広い意味で使う""""}]""	[]"
400018	4	respond	返答する	to answer or react	Please respond to my question.	私の質問に返答してください。	verb	4	3	""[""""返答する"""",""""説明する"""",""""到着する"""",""""借りる"""",""""選ぶ""""]""	""[""""respond"""",""""explain"""",""""arrive"""",""""borrow"""",""""choose""""]""	""[""""respond"""",""""respect"""",""""result"""",""""report"""",""""repeat""""]""	""[{""""word"""":""""answer"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""ignore"""",""""note"""":""""返答しない""""}]"""
400019	4	reply	返事をする	to answer someone	I will reply to your email tonight.	今夜あなたのメールに返事をします。	verb	3	4	""[""""返事をする"""",""""招待する"""",""""集める"""",""""比べる"""",""""運ぶ""""]""	""[""""reply"""",""""invite"""",""""collect"""",""""compare"""",""""carry""""]""	""[""""reply"""",""""require"""",""""remain"""",""""replace"""",""""repeat""""]""	""[{""""word"""":""""answer"""",""""note"""":""""より基本的な語""""},{""""word"""":""""respond"""",""""note"""":""""ややかたい語""""}]""	""[{""""word"""":""""ignore"""",""""note"""":""""返事をしない""""}]"""
400020	4	response	返答	an answer to something that is said or done	I got no response to my email.	私はメールに返答をもらえなかった。	noun	4	3	""[""""返答"""",""""質問"""",""""提案"""",""""結果"""",""""意見""""]""	""[""""response"""",""""question"""",""""suggestion"""",""""result"""",""""opinion""""]""	""[""""response"""",""""respect"""",""""report"""",""""resource"""",""""result""""]""	""[{""""word"""":""""reply"""",""""note"""":""""より日常的な語""""}]""	[]"
400021	4	solution	解決策	an answer to a problem	We found a solution to the problem.	私たちはその問題の解決策を見つけた。	noun	4	3	""[""""解決策"""",""""原因"""",""""計画"""",""""規則"""",""""方法""""]""	""[""""solution"""",""""cause"""",""""plan"""",""""rule"""",""""method""""]""	""[""""solution"""",""""station"""",""""situation"""",""""selection"""",""""salution""""]""	""[{""""word"""":""""answer"""",""""note"""":""""problem に対する答え""""}]""	[]"
400022	4	whenever	〜するときはいつでも	at any time when	You can call me whenever you need help.	助けが必要なときはいつでも、私に電話してよいです。	conjunction	4	3	""[""""〜するときはいつでも"""",""""〜なので"""",""""〜する前に"""",""""〜したあとで"""",""""〜するけれども""""]""	""[""""whenever"""",""""because"""",""""before"""",""""after"""",""""although""""]""	""[""""whenever"""",""""whatever"""",""""wherever"""",""""whether"""",""""whoever""""]""	""[{""""word"""":""""anytime"""",""""note"""":""""会話で近い意味""""}]""	[]"
400023	4	refrigerator	冷蔵庫	a machine that keeps food and drinks cold	The milk is in the refrigerator.	牛乳は冷蔵庫の中にあります。	noun	4	3	""[""""冷蔵庫"""",""""電子レンジ"""",""""洗濯機"""",""""エアコン"""",""""炊飯器""""]""	""[""""refrigerator"""",""""microwave"""",""""washer"""",""""heater"""",""""freezer""""]""	""[""""refrigerator"""",""""navigator"""",""""elevator"""",""""generator"""",""""calculator""""]""	""[{""""word"""":""""fridge"""",""""note"""":""""口語でよく使う短い形""""}]""	[]"
400024	4	district	地区	an area of a city or country	This district has many old buildings.	この地区には古い建物がたくさんあります。	noun	4	3	""[""""地区"""",""""地域"""",""""首都"""",""""村"""",""""島""""]""	""[""""district"""",""""region"""",""""capital"""",""""village"""",""""island""""]""	""[""""district"""",""""direct"""",""""desert"""",""""discuss"""",""""respect""""]""	""[{""""word"""":""""area"""",""""note"""":""""より広く一般的な語""""}]""	[]"
400025	4	debate	討論	a formal discussion with different opinions	The students had a debate in class.	生徒たちは授業で討論をしました。	noun	4	3	""[""""討論"""",""""会話"""",""""演説"""",""""報告"""",""""質問""""]""	""[""""debate"""",""""conversation"""",""""speech"""",""""report"""",""""question""""]""	""[""""debate"""",""""date"""",""""debut"""",""""debtor"""",""""update""""]""	""[{""""word"""":""""discussion"""",""""note"""":""""debateより広い意味で使う""""}]""	[]"
400026	4	soldier	兵士	a person in the army	The soldier helped the people in the town.	その兵士は町の人々を助けた。	noun	4	3	""[""""兵士"""",""""警官"""",""""医者"""",""""農家"""",""""船員""""]""	""[""""soldier"""",""""police officer"""",""""doctor"""",""""farmer"""",""""sailor""""]""	""[""""soldier"""",""""shoulder"""",""""holder"""",""""colder"""",""""folder""""]""	""[{""""word"""":""""troop"""",""""note"""":""""集合的に使うことが多い""""}]""	[]"
400027	4	apply	申し込む	to ask for something officially	I want to apply for that job.	私はその仕事に申し込みたい。	verb	4	4	""[""""申し込む"""",""""断る"""",""""選ぶ"""",""""説明する"""",""""訪れる""""]""	""[""""apply"""",""""refuse"""",""""choose"""",""""explain"""",""""visit""""]""	""[""""apply"""",""""supply"""",""""reply"""",""""approve"""",""""arrive""""]""	""[{""""word"""":""""request"""",""""note"""":""""より広い意味で「求める」""""}]""	""[{""""word"""":""""withdraw"""",""""note"""":""""申請を取り下げる""""}]"""
400028	4	demand	要求する	to ask strongly for something	They demand better service.	彼らはよりよいサービスを要求する。	verb	4	3	""[""""要求する"""",""""提案する"""",""""許す"""",""""避ける"""",""""共有する""""]""	""[""""demand"""",""""suggest"""",""""allow"""",""""avoid"""",""""share""""]""	""[""""demand"""",""""depend"""",""""remind"""",""""decide"""",""""demanding""""]""	""[{""""word"""":""""require"""",""""note"""":""""ややかたい語""""}]""	[]"
400029	4	offer	申し出る	to say that you will give or do something	He offered me some help.	彼は私に手助けを申し出た。	verb	4	4	""[""""申し出る"""",""""断る"""",""""選ぶ"""",""""運ぶ"""",""""集める""""]""	""[""""offer"""",""""refuse"""",""""choose"""",""""carry"""",""""collect""""]""	""[""""offer"""",""""order"""",""""open"""",""""often"""",""""office""""]""	""[{""""word"""":""""provide"""",""""note"""":""""ややかたいが「与える」""""}]""	""[{""""word"""":""""refuse"""",""""note"""":""""申し出や依頼を断る""""}]"""
400030	4	charge	請求する	to ask someone to pay money for something	The hotel charged us extra money.	そのホテルは私たちに追加料金を請求した。	verb	5	4	""[""""請求する"""",""""予約する"""",""""配達する"""",""""修理する"""",""""交換する""""]""	""[""""charge"""",""""book"""",""""deliver"""",""""repair"""",""""replace""""]""	""[""""charge"""",""""change"""",""""chart"""",""""chance"""",""""chase""""]""	""[{""""word"""":""""bill"""",""""note"""":""""料金を請求する""""}]""	""[{""""word"""":""""pay"""",""""note"""":""""お金を払う側""""}]"""
400031	4	request	頼む	to ask for something politely	She requested more time.	彼女はもっと時間を頼んだ。	verb	5	3	""[""""頼む"""",""""防ぐ"""",""""比べる"""",""""招待する"""",""""説明する""""]""	""[""""request"""",""""prevent"""",""""compare"""",""""invite"""",""""explain""""]""	""[""""request"""",""""require"""",""""respect"""",""""result"""",""""reject""""]""	""[{""""word"""":""""ask"""",""""note"""":""""より基本的な語""""}]""	""[{""""word"""":""""refuse"""",""""note"""":""""頼みを断る""""}]"""
400032	4	apply for	申し込む	to ask officially for something	She will apply for the job next week.	彼女は来週その仕事に申し込むでしょう。	verb	4	3	""[""""申し込む"""",""""断る"""",""""選ぶ"""",""""説明する"""",""""訪ねる""""]""	""[""""apply for"""",""""look for"""",""""wait for"""",""""pay for"""",""""ask for""""]""	""[""""apply for"""",""""reply to"""",""""arrive at"""",""""agree with"""",""""ask for""""]""	""[{""""word"""":""""request"""",""""note"""":""""より一般的に「求める」""""},{""""word"""":""""seek"""",""""note"""":""""少しかたいが「得ようとする」""""}]""	""[{""""word"""":""""refuse"""",""""note"""":""""申し込みや依頼を断る""""}]"""
400033	4	ever	今までに	at any time in the past	Have you ever seen a whale?	あなたは今までにクジラを見たことがありますか。	adverb	3	5	""[""""今までに"""",""""すでに"""",""""たぶん"""",""""いつも"""",""""決して""""]""	""[""""ever"""",""""already"""",""""often"""",""""never"""",""""always""""]""	""[""""ever"""",""""over"""",""""after"""",""""other"""",""""even""""]""	[]	""[{""""word"""":""""never"""",""""note"""":""""「一度も〜ない」""""}]"""
400034	4	nuclear	核の	related to the energy or power of the atom	The country is building a new nuclear plant.	その国は新しい原子力発電所を建設しています。	adjective	5	2	""[""""核の"""",""""電気の"""",""""化学の"""",""""自然の"""",""""工業の""""]""	""[""""nuclear"""",""""electric"""",""""chemical"""",""""natural"""",""""industrial""""]""	""[""""nuclear"""",""""unclear"""",""""newcomer"""",""""regular"""",""""popular""""]""	""[{""""word"""":""""atomic"""",""""note"""":""""ややかたいが近い意味""""}]""	[]"
400035	4	crisis	危機	a very difficult or dangerous time	The country is facing a serious crisis.	その国は深刻な危機に直面している。	noun	4	3	""[""""危機"""",""""機会"""",""""変化"""",""""計画"""",""""結果""""]""	""[""""crisis"""",""""chance"""",""""change"""",""""plan"""",""""result""""]""	""[""""crisis"""",""""prices"""",""""classes"""",""""crosses"""",""""crashes""""]""	""[{""""word"""":""""emergency"""",""""note"""":""""より差しせまった危険を表すことが多い""""}]""	[]"
400036	4	unpleasant	不快な	not nice or comfortable	We had an unpleasant experience at the hotel.	私たちはそのホテルで不快な経験をした。	adjective	4	3	""[""""不快な"""",""""快適な"""",""""静かな"""",""""安全な"""",""""有名な""""]""	""[""""unpleasant"""",""""comfortable"""",""""quiet"""",""""safe"""",""""famous""""]""	""[""""unpleasant"""",""""important"""",""""different"""",""""understand"""",""""uncertain""""]""	""[{""""word"""":""""nasty"""",""""note"""":""""ややくだけた語""""},{""""word"""":""""uncomfortable"""",""""note"""":""""居心地が悪い感じに近い""""}]""	""[{""""word"""":""""pleasant"""",""""note"""":""""基本的な反対語""""}]"""
